id,gene_name,gene_id_ensembl101,gene_type,entrez_id
ENSG00000259799,,,,
ENSG00000230533,AL356234.2,ENSG00000230533,lncRNA,
ENSG00000196296,ATP2A1,ENSG00000196296,protein_coding,487
ENSG00000270457,AC093424.1,ENSG00000270457,lncRNA,
ENSG00000230481,IGKV1OR22-5,ENSG00000230481,IG_V_pseudogene,28850
ENSG00000252861,RNU6-448P,ENSG00000252861,snRNA,106479764
ENSG00000231952,DPY19L1P2,ENSG00000231952,unprocessed_pseudogene,102724668
ENSG00000280956,,,,
ENSG00000205331,OR6C72P,ENSG00000205331,unprocessed_pseudogene,403288
ENSG00000279123,AC027281.1,ENSG00000279123,TEC,
ENSG00000206791,RNU1-129P,ENSG00000206791,snRNA,106481630
ENSG00000109805,NCAPG,ENSG00000109805,protein_coding,64151
ENSG00000211978,IGHV5-78,ENSG00000211978,IG_V_pseudogene,28387
ENSG00000212039,,,,
ENSG00000203780,FANK1,ENSG00000203780,protein_coding,92565
ENSG00000111641,NOP2,ENSG00000111641,protein_coding,4839
ENSG00000221923,ZNF880,ENSG00000221923,protein_coding,400713
ENSG00000163975,MELTF,ENSG00000163975,protein_coding,4241
ENSG00000239893,ZNF736P9Y,ENSG00000239893,transcribed_processed_pseudogene,100419726
ENSG00000127329,PTPRB,ENSG00000127329,protein_coding,5787
ENSG00000257815,PRANCR,ENSG00000257815,lncRNA,
ENSG00000262358,AC116914.1,ENSG00000262358,lncRNA,
ENSG00000250594,RNF14P2,ENSG00000250594,processed_pseudogene,
ENSG00000077044,DGKD,ENSG00000077044,protein_coding,8527
ENSG00000263570,,,,
ENSG00000143183,TMCO1,ENSG00000143183,protein_coding,54499
ENSG00000229941,PDE11A-AS1,ENSG00000229941,lncRNA,
ENSG00000279455,AC117500.5,ENSG00000279455,TEC,
ENSG00000108774,RAB5C,ENSG00000108774,protein_coding,5878
ENSG00000125522,NPBWR2,ENSG00000125522,protein_coding,2832
ENSG00000183696,UPP1,ENSG00000183696,protein_coding,7378
ENSG00000273826,,,,
ENSG00000228318,AP001610.2,ENSG00000228318,lncRNA,
ENSG00000275261,,,,
ENSG00000212025,,,,
ENSG00000279874,AC064859.1,ENSG00000279874,TEC,
ENSG00000269680,AC008760.1,ENSG00000269680,lncRNA,
ENSG00000279859,AC093323.2,ENSG00000279859,TEC,
ENSG00000222129,RNA5SP36,ENSG00000222129,rRNA_pseudogene,100873368
ENSG00000225758,RPS17P17,ENSG00000225758,processed_pseudogene,100271230
ENSG00000269113,TRABD2B,ENSG00000269113,protein_coding,388630
ENSG00000231302,RPL36P2,ENSG00000231302,processed_pseudogene,140751
ENSG00000268442,AC073534.1,ENSG00000268442,processed_pseudogene,
ENSG00000244031,RPS3AP17,ENSG00000244031,processed_pseudogene,100271130
ENSG00000281158,,,,
ENSG00000268957,AC020914.3,ENSG00000268957,unprocessed_pseudogene,
ENSG00000231392,AC244157.1,ENSG00000231392,unprocessed_pseudogene,
ENSG00000166126,AMN,ENSG00000166126,protein_coding,81693
ENSG00000276289,KCNE1B,ENSG00000276289,protein_coding,102723475
ENSG00000129451,KLK10,ENSG00000129451,protein_coding,5655
ENSG00000260000,AL133338.1,ENSG00000260000,lncRNA,
ENSG00000254312,MRPL57P7,ENSG00000254312,processed_pseudogene,359731
ENSG00000259981,AF096876.1,ENSG00000259981,lncRNA,
ENSG00000117139,KDM5B,ENSG00000117139,protein_coding,10765
ENSG00000244025,KRTAP19-3,ENSG00000244025,protein_coding,337970
ENSG00000001460,STPG1,ENSG00000001460,protein_coding,90529
ENSG00000241057,AC004951.3,ENSG00000241057,transcribed_unprocessed_pseudogene,
ENSG00000135723,FHOD1,ENSG00000135723,protein_coding,29109
ENSG00000080031,PTPRH,ENSG00000080031,protein_coding,5794
ENSG00000168300,PCMTD1,ENSG00000168300,protein_coding,115294
ENSG00000234206,AL121957.1,ENSG00000234206,lncRNA,
ENSG00000196772,OR14A16,ENSG00000196772,protein_coding,284532
ENSG00000255531,NDUFS5P6,ENSG00000255531,processed_pseudogene,106480785
ENSG00000200693,AL136038.1,ENSG00000200693,snoRNA,
ENSG00000268947,AC002128.1,ENSG00000268947,lncRNA,
ENSG00000231982,AC112907.2,ENSG00000231982,unprocessed_pseudogene,
ENSG00000145451,GLRA3,ENSG00000145451,protein_coding,8001
ENSG00000250420,AACSP1,ENSG00000250420,transcribed_unprocessed_pseudogene,729522
ENSG00000227097,RPS28P7,ENSG00000227097,processed_pseudogene,646195
ENSG00000236764,COX7A2P2,ENSG00000236764,processed_pseudogene,1348
ENSG00000106125,MINDY4,ENSG00000106125,protein_coding,84182
ENSG00000076984,MAP2K7,ENSG00000076984,protein_coding,5609
ENSG00000234595,AC013733.2,ENSG00000234595,lncRNA,
ENSG00000232360,AP000281.2,ENSG00000232360,lncRNA,
ENSG00000271824,SMIM32,ENSG00000271824,protein_coding,389332
ENSG00000218018,RBM38-AS1,ENSG00000218018,lncRNA,
ENSG00000133624,ZNF767P,ENSG00000133624,transcribed_unprocessed_pseudogene,79970
ENSG00000253801,AC010376.1,ENSG00000253801,processed_pseudogene,
ENSG00000209082,MT-TL1,ENSG00000209082,Mt_tRNA,
ENSG00000125843,AP5S1,ENSG00000125843,protein_coding,55317
ENSG00000155974,GRIP1,ENSG00000155974,protein_coding,23426
ENSG00000243664,RPS29P12,ENSG00000243664,processed_pseudogene,100131173
ENSG00000105053,VRK3,ENSG00000105053,protein_coding,51231
ENSG00000235976,H2BP8,ENSG00000235976,processed_pseudogene,115482725
ENSG00000267717,SRSF10P1,ENSG00000267717,processed_pseudogene,100130799
